experiment,comparison,metric,method_a,method_b,n,mean_a,mean_b,mean_diff,std_diff,t_stat,p_value,conclusion
vehicle,A-RH-PADS-L vs TSP-2opt,total_inspection_time,A-RH-PADS-L,TSP-2opt,30,482.24000000000007,396.54,85.70000000000002,34.27594914302408,13.694682233984482,3.4309938292715087e-14,significant
vehicle,A-RH-PADS-L vs TSP-2opt,high_priority_avg_response_time,A-RH-PADS-L,TSP-2opt,30,162.10396392496392,183.70164333814333,-21.597679413179414,47.40937088447919,-2.4951894496106974,0.018530082275133128,significant
vehicle,A-RH-PADS-L vs TSP-2opt,priority_weighted_completion_time,A-RH-PADS-L,TSP-2opt,30,193.5615890865926,190.61347151024074,2.948117576351847,20.697739641003707,0.7801578948970975,0.4416194094542055,not_significant
vehicle,A-RH-PADS-L vs TSP-2opt,abnormal_avg_response_time,A-RH-PADS-L,TSP-2opt,0,,,,,,,skipped
vehicle,A-RH-PADS-L vs TSP-2opt,abnormal_priority_rate,A-RH-PADS-L,TSP-2opt,0,,,,,,,skipped
vehicle,A-RH-PADS-L vs TSP-2opt,vehicle_trajectory_length,A-RH-PADS-L,TSP-2opt,30,193.73924580618052,147.04052541736007,46.69872038882051,17.987891755071274,14.219533290427044,1.3218855548484895e-14,significant
vehicle,A-RH-PADS-L vs TSP-2opt,vehicle_execution_time,A-RH-PADS-L,TSP-2opt,30,382.57333333333344,296.8733333333333,85.69999999999999,34.275949143024086,13.694682233984473,3.4309938292715585e-14,significant
vehicle,A-RH-PADS-L vs Priority-Greedy,total_path_length,A-RH-PADS-L,Priority-Greedy,30,212.83333333333334,297.2,-84.36666666666666,27.276974416773818,-16.940854850249163,1.3994339025598637e-16,significant
vehicle,A-RH-PADS-L vs Priority-Greedy,total_inspection_time,A-RH-PADS-L,Priority-Greedy,30,482.24000000000007,629.1766666666665,-146.9366666666667,48.105433654904694,-16.730028344676445,1.9476104638838037e-16,significant
vehicle,A-RH-PADS-L vs Priority-Greedy,high_priority_avg_response_time,A-RH-PADS-L,Priority-Greedy,30,162.10396392496392,151.9050628908129,10.198901034151026,46.20723053953252,1.2089381018817063,0.23645140127265885,not_significant
vehicle,A-RH-PADS-L vs Priority-Greedy,priority_weighted_completion_time,A-RH-PADS-L,Priority-Greedy,30,193.5615890865926,245.0476265221444,-51.486037435551836,23.38928268215683,-12.056831534008689,8.077459205324937e-13,significant
vehicle,A-RH-PADS-L vs Priority-Greedy,abnormal_avg_response_time,A-RH-PADS-L,Priority-Greedy,0,,,,,,,skipped
vehicle,A-RH-PADS-L vs Priority-Greedy,abnormal_priority_rate,A-RH-PADS-L,Priority-Greedy,0,,,,,,,skipped
vehicle,A-RH-PADS-L vs Priority-Greedy,vehicle_trajectory_length,A-RH-PADS-L,Priority-Greedy,30,193.73924580618052,270.3509854594398,-76.61173965325926,25.29086318938219,-16.59175397201149,2.42358690453991e-16,significant
vehicle,A-RH-PADS-L vs Priority-Greedy,vehicle_execution_time,A-RH-PADS-L,Priority-Greedy,30,382.57333333333344,529.51,-146.9366666666667,48.105433654904715,-16.730028344676434,1.9476104638838313e-16,significant
