seed,method,completed_task_num,total_planned_path_length,vehicle_trajectory_length,vehicle_execution_time,total_inspection_time,high_priority_avg_response_time,abnormal_avg_response_time,abnormal_priority_rate,heading_change_sum,goal_success_rate,trajectory_to_plan_ratio,failed_task_num,unreachable_task_num,follower_failed_num,adapter_failed_num,task_sequence
12,Priority-Greedy,20,299.0,273.04985901111195,533.3000000000001,633.3000000000002,189.0888888888889,0.0,0.0,193.11154771476475,100.0,0.9132102308063945,0,0,0,0,P16->P18->P6->P19->P7->P3->P12->P20->P4->P13->P5->P2->P14->P17->P10->P15->P1->P9->P11->P8
13,AStarOnly,20,191.0,171.4659210346652,332.0,432.0,191.26666666666668,0.0,0.0,108.31591559206747,100.0,0.8977273352600272,0,0,0,0,P8->P13->P10->P16->P11->P9->P18->P1->P6->P14->P3->P19->P4->P17->P12->P2->P5->P15->P7->P20
13,Proposed-Balanced,20,196.0,176.74667566115173,340.2,440.2,150.8,0.0,0.0,106.13691303276028,100.0,0.901768753373223,0,0,0,0,P13->P8->P10->P11->P9->P18->P7->P6->P14->P3->P4->P19->P17->P12->P2->P5->P16->P20->P15->P1
13,RH-v2-Light,20,244.0,225.4639722595815,439.70000000000005,539.7,141.56666666666666,0.0,0.0,147.09648249027006,100.0,0.9240326731950061,0,0,0,0,P8->P13->P11->P9->P2->P12->P4->P3->P7->P6->P14->P18->P15->P16->P10->P20->P1->P19->P17->P5
13,TSP-2opt,20,191.0,171.4659210346652,332.0,432.0,191.26666666666668,0.0,0.0,108.31591559206747,100.0,0.8977273352600272,0,0,0,0,P8->P13->P10->P16->P11->P9->P18->P1->P6->P14->P3->P19->P4->P17->P12->P2->P5->P15->P7->P20
13,Priority-Greedy,20,306.0,268.3217797640648,513.5,613.5000000000001,203.9166666666667,0.0,0.0,157.00579336240452,100.0,0.8768685613204732,0,0,0,0,P4->P3->P7->P9->P11->P12->P2->P5->P10->P8->P13->P20->P18->P14->P6->P15->P16->P1->P19->P17
14,AStarOnly,20,205.0,184.56911381975937,361.2,461.20000000000005,227.01428571428576,0.0,0.0,126.48740708224724,100.0,0.900337140584192,0,0,0,0,P2->P11->P3->P7->P18->P9->P10->P14->P12->P19->P6->P13->P1->P17->P15->P4->P5->P20->P8->P16
14,Proposed-Balanced,20,241.0,220.3021473420618,433.6000000000001,533.6,110.77142857142856,0.0,0.0,156.9037330249778,100.0,0.9141167939504639,0,0,0,0,P11->P20->P15->P4->P14->P19->P12->P17->P6->P13->P16->P10->P9->P18->P7->P3->P2->P5->P1->P8
14,RH-v2-Light,20,269.0,246.56187816485794,485.7,585.7000000000002,107.70000000000002,0.0,0.0,178.49287319513817,100.0,0.9165869076760519,0,0,0,0,P11->P20->P15->P4->P14->P12->P19->P17->P10->P16->P13->P6->P9->P7->P3->P2->P5->P8->P18->P1
14,TSP-2opt,20,197.0,180.1465422986294,358.40000000000003,458.4000000000001,217.20000000000005,0.0,0.0,133.36204586131691,100.0,0.9144494532925351,0,0,0,0,P2->P11->P3->P7->P18->P9->P10->P14->P12->P19->P17->P6->P13->P1->P16->P15->P4->P5->P20->P8
14,Priority-Greedy,20,317.0,293.07906679061307,569.7999999999998,669.7999999999998,142.04285714285714,0.0,0.0,190.01041534052638,100.0,0.9245396428725964,0,0,0,0,P15->P19->P14->P12->P17->P16->P10->P11->P20->P4->P5->P9->P7->P3->P2->P18->P8->P13->P6->P1
15,AStarOnly,20,177.0,157.3887681354517,322.3,422.30000000000007,194.58,0.0,0.0,146.92506697089496,100.0,0.8892020798613091,0,0,0,0,P16->P7->P11->P2->P6->P20->P4->P12->P19->P17->P8->P3->P15->P5->P9->P13->P10->P18->P14->P1
15,Proposed-Balanced,20,206.0,184.74687117001375,378.1,478.1,162.46,0.0,0.0,165.52610966396855,100.0,0.8968294716990959,0,0,0,0,P16->P20->P4->P6->P7->P11->P19->P17->P8->P3->P13->P10->P18->P12->P2->P14->P1->P15->P5->P9
15,RH-v2-Light,20,246.0,223.92257967877146,449.30000000000007,549.3,134.96,0.0,0.0,177.74583164132991,100.0,0.9102543889380953,0,0,0,0,P16->P7->P20->P4->P13->P19->P17->P8->P6->P10->P18->P12->P11->P14->P1->P15->P5->P3->P9->P2
